user_genome	Domain	Phylum	Class	Order	Family	Genus	Species
C.5.N.60-DT-bin.11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.N.60-DT-bin.10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus_B
C.5.N.60-DT-bin.1	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.N.60-8K-bin.9	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.N.60-8K-bin.8	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.N.60-8K-bin.7	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.N.60-8K-bin.6	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.N.60-8K-bin.55	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia_B	Erwinia_B gerundensis
C.5.N.60-8K-bin.54	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.N.60-8K-bin.53	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
C.5.N.60-8K-bin.52	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens_A
C.5.N.60-8K-bin.51	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
C.5.N.60-8K-bin.50	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
C.5.N.60-8K-bin.5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia_B	Erwinia_B gerundensis
C.5.N.60-8K-bin.49	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermocladiaceae	Vulcanisaeta	Vulcanisaeta distributa
C.5.N.60-8K-bin.48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.N.60-8K-bin.47	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus_B
C.5.N.60-8K-bin.46	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
C.5.N.60-8K-bin.45	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
C.5.N.60-8K-bin.44	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens_A
C.5.N.60-8K-bin.43	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.N.60-8K-bin.42	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.N.60-8K-bin.41	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.N.60-8K-bin.40	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.N.60-8K-bin.4	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas vesicularis
C.5.N.60-8K-bin.39	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis
C.5.N.60-8K-bin.38	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus_B
C.5.N.60-8K-bin.37	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.N.60-8K-bin.36	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas vesicularis
C.5.N.60-8K-bin.35	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermocladiaceae	Vulcanisaeta	Vulcanisaeta distributa
C.5.N.60-8K-bin.34	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermocladiaceae	Vulcanisaeta	Vulcanisaeta distributa
C.5.N.60-8K-bin.33	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.N.60-8K-bin.32	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.N.60-8K-bin.31	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus
C.5.N.60-8K-bin.30	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus
C.5.N.60-8K-bin.3	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae
C.5.N.60-8K-bin.29	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia_B	Erwinia_B gerundensis
C.5.N.60-8K-bin.28	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis
C.5.N.60-8K-bin.27	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus
C.5.N.60-8K-bin.26	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia_B	Erwinia_B gerundensis
C.5.N.60-8K-bin.25	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus
C.5.N.60-8K-bin.24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus_B
C.5.N.60-8K-bin.23	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.N.60-8K-bin.22	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens_A
C.5.N.60-8K-bin.21	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens_A
C.5.N.60-8K-bin.20	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis
C.5.N.60-8K-bin.2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus_B
C.5.N.60-8K-bin.19	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
C.5.N.60-8K-bin.18	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae
C.5.N.60-8K-bin.17	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae
C.5.N.60-8K-bin.16	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis
C.5.N.60-8K-bin.15	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae
C.5.N.60-8K-bin.14	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
C.5.N.60-8K-bin.13	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.N.60-8K-bin.12	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermocladiaceae	Vulcanisaeta	Vulcanisaeta distributa
C.5.N.60-8K-bin.11	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas vesicularis
C.5.N.60-8K-bin.10	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas vesicularis
C.5.N.60-8K-bin.1	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.C.60-MM-bin.9	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus roseus
C.5.C.60-MM-bin.8	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.C.60-MM-bin.7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus_B
C.5.C.60-MM-bin.6	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
C.5.C.60-MM-bin.5	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus
C.5.C.60-MM-bin.4	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc	Nostoc punctiforme
C.5.C.60-MM-bin.3	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_A	Granulicella_A mallensis
