bin_id,eve_class,sample,evenness,taxonomy,depth,pipeline,coverage,rel_abd
A.2.C.60-8K-bin.31,logarithmic,A,2,C,60,8K,82,0.014948971
A.2.C.60-8K-bin.32,logarithmic,A,2,C,60,8K,40,0.008521099
A.2.C.60-8K-bin.33,logarithmic,A,2,C,60,8K,28,0.004496319
A.2.C.60-8K-bin.34,logarithmic,A,2,C,60,8K,40,0.008521099
A.2.C.60-8K-bin.35,logarithmic,A,2,C,60,8K,33,0.004650376
A.2.C.60-8K-bin.36,logarithmic,A,2,C,60,8K,23,0.007002481
A.2.C.60-8K-bin.4,logarithmic,A,2,C,60,8K,33,0.004650376
A.2.C.60-8K-bin.5,logarithmic,A,2,C,60,8K,6,0.002569265
A.2.C.60-8K-bin.6,logarithmic,A,2,C,60,8K,23,0.007002481
A.2.C.60-8K-bin.7,logarithmic,A,2,C,60,8K,171,0.048578249
A.2.C.60-8K-bin.8,logarithmic,A,2,C,60,8K,13,0.004729162
A.2.C.60-8K-bin.9,logarithmic,A,2,C,60,8K,13,0.004729162
A.2.C.60-DT-bin.1,logarithmic,A,2,C,60,DT,68,0.016366152
A.2.C.60-DT-bin.10,logarithmic,A,2,C,60,DT,13,0.004729162
A.2.C.60-DT-bin.11,logarithmic,A,2,C,60,DT,19,0.007443884
A.2.C.60-DT-bin.12,logarithmic,A,2,C,60,DT,33,0.004508002
A.2.C.60-DT-bin.13,logarithmic,A,2,C,60,DT,7,0.002757407
A.2.C.60-DT-bin.14,logarithmic,A,2,C,60,DT,81,0.015343956
A.2.C.60-DT-bin.15,logarithmic,A,2,C,60,DT,6,0.002750524
A.2.C.60-DT-bin.16,logarithmic,A,2,C,60,DT,57,0.013896091
A.2.C.60-DT-bin.17,logarithmic,A,2,C,60,DT,47,0.008666223
A.2.C.60-DT-bin.2,logarithmic,A,2,C,60,DT,16,0.002246101
A.2.C.60-DT-bin.3,logarithmic,A,2,C,60,DT,96,0.01951976
A.2.C.60-DT-bin.4,logarithmic,A,2,C,60,DT,4,0.001117684
A.2.C.60-DT-bin.5,logarithmic,A,2,C,60,DT,36,0.00889555
A.2.C.60-DT-bin.6,logarithmic,A,2,C,60,DT,27,0.004712445
A.2.C.60-DT-bin.7,logarithmic,A,2,C,60,DT,169,0.050467233
A.2.C.60-DT-bin.9,logarithmic,A,2,C,60,DT,23,0.007186256
A.2.C.60-MM-bin.1,logarithmic,A,2,C,60,MM,170,0.052314033
A.2.C.60-MM-bin.10,logarithmic,A,2,C,60,MM,9,0.005287638
A.2.C.60-MM-bin.11,logarithmic,A,2,C,60,MM,13,0.004736829
A.2.C.60-MM-bin.12,logarithmic,A,2,C,60,MM,19,0.007314779
A.2.C.60-MM-bin.13,logarithmic,A,2,C,60,MM,11,0.004172621
A.2.C.60-MM-bin.14,logarithmic,A,2,C,60,MM,16,0.002200282
A.2.C.60-MM-bin.15,logarithmic,A,2,C,60,MM,33,0.00466906
A.2.C.60-MM-bin.2,logarithmic,A,2,C,60,MM,23,0.006993247
A.2.C.60-MM-bin.4,logarithmic,A,2,C,60,MM,28,0.004476268
A.2.C.60-MM-bin.6,logarithmic,A,2,C,60,MM,57,0.012880012
A.2.C.60-MM-bin.7,logarithmic,A,2,C,60,MM,40,0.008595103
A.2.C.60-MM-bin.9,logarithmic,A,2,C,60,MM,69,0.016687533
A.2.N.60-8K-bin.1,logarithmic,A,2,N,60,8K,44,0.006010169
A.2.N.60-8K-bin.10,logarithmic,A,2,N,60,8K,44,0.006010169
A.2.N.60-8K-bin.11,logarithmic,A,2,N,60,8K,7,0.003344264
A.2.N.60-8K-bin.12,logarithmic,A,2,N,60,8K,53,0.007027959
A.2.N.60-8K-bin.13,logarithmic,A,2,N,60,8K,7,0.003338131
A.2.N.60-8K-bin.14,logarithmic,A,2,N,60,8K,37,0.012836087
A.2.N.60-8K-bin.15,logarithmic,A,2,N,60,8K,7,0.003324747
A.2.N.60-8K-bin.16,logarithmic,A,2,N,60,8K,76,0.017468735
A.2.N.60-8K-bin.17,logarithmic,A,2,N,60,8K,53,0.007027959
